说话人01(00:00:00): 我看里面对照的，这都是。

说话人03(00:37:22): 生之前干什么？你写最后？

说话人01(00:37:24): 那对你12点血你还好意思把我过来瞬间？

说话人02(00:37:26): 谁带钱都无所谓！

说话人04(00:37:28): 什么叫12点血？我是4点血12点力量。

说话人02(00:37:34): 你是12+你的血，这是总血量。

说话人01(00:37:37): 血量是力量加血量！

说话人04(00:37:39): 不管反正我就这么觉着的，我就要往后走。你再看看你的后面。

说话人02(00:37:51): 那你们进来了，太遗憾了。这里有一条倾斜向下的通道，墙壁挂满蜂巢格子，只是大部分格子已经被掏空，少数还残留着些蜂蜜。小鱼你对夜间是最敏感的，你看到远处深处两个方向，左侧，也就是这个位置散发着银色光芒。右侧继续向下延伸，越来越暗，还能隐约看到丝线挂垂在下方这一侧右侧，当然你也可以称为北侧和南侧都行。

说话人03(00:38:43): 我跟他们俩说一下，我说你那个笼子小鼠，你觉得我们应该走哪条路？

说话人01(00:38:51): 叫我龙叔！

说话人02(00:38:54): 你也看到在走廊尽头大约位置的高处，蜂巢格里面似乎还有蜂蜜罐粘在里面。

说话人03(00:39:03): 我们要不先去把蜂蜜罐给掏了再说那。

说话人01(00:39:07): 肯定的！

说话人04(00:39:07): 这再说来了。

说话人01(00:39:07): 走走走！

说话人02(00:39:09): 来都来了，那你们看来到这个位置！

说话人01(00:39:16): 绿帽子。

说话人02(00:39:17): 蜂巢格子离地大概有6寸高谁来过一个攀爬爹？敏捷要过个敏捷豁免？

说话人01(00:39:29): 第20？

说话人02(00:39:35): 来过个敏捷豁免，谁来爬你来爬是吗？

说话人04(00:39:40): 谁让咱们过来的，谁让他？

说话人01(00:39:43): 我能把钩子直接丢上去卡住位置，然后顺着垃圾沟铁钩爬上去吗？

说话人02(00:39:50): 那就过个优势2d 20点 r2d20取第一。

说话人01(00:39:59): 那来吧！

说话人02(00:40:02): 你的敏捷是高达6点，我不知道为什么要一个6点敏捷的家伙过去，明明在场有两个8m 的。

说话人01(00:40:08): 那我说一下，我把这个卡住把我可以把我这个钩子丢上去卡住，然后你们来爬你们！谁擅长谁在哪翻盘？

说话人03(00:40:17): 天猫爬吧，你都名字有猫了，肯定会很会攀爬！

说话人02(00:40:20): 天猫它有劣势！

说话人04(00:40:24): 我很重！

说话人02(00:40:24): 他穿着重甲？

说话人01(00:40:26): 他看着重点有劣势。

说话人03(00:40:26): 那我来吧，怎么扔头来着？

说话人01(00:40:28): 你来吧，那行，那我来丢钩子卡住上面的位置来爬吧！

说话人02(00:40:32): 你丢锅子行，那你先过一个 d206寸，对于你们数数来说还是有点高的，你也得过头。

说话人01(00:40:39): 我们。

说话人02(00:40:40): 只是怕不是你怕而已。

说话人01(00:40:41): 我来投行！

说话人04(00:40:44): 要不我来？

说话人01(00:40:45): 16吧！

说话人02(00:40:45): 16这个钩子都没有扔上去，让我看看失败的后果。

说话人01(00:40:49): 好，你们来吧！

说话人03(00:40:54): 也是越低越好了。

说话人02(00:40:56): 对！

说话人01(00:40:57): 对越低越好。

说话人02(00:41:01): Let me see see，该判你哪个？

说话人03(00:41:03): 这还不简单，掉下来了，砸在了肩包的脑袋上。

说话人02(00:41:11): 我知道了。

说话人04(00:41:12): 怎么你了？我旁边都被你打了。

说话人03(00:41:19): 打我头上了。

说话人02(00:41:21): 这一个笼子，他扔上去的爪钩。没勾到又掉了下来，乒乓回荡在这片空间里，希望没有其他存在发现只是你们隐约听到在更深处似乎有南方似乎有着其他的嘶声。

说话人04(00:41:55): 最后一平方。

说话人01(00:41:58): 不行，有人要来了，我们快走吧，钩子没钩上去！

说话人04(00:42:01): 还有。

说话人03(00:42:02): 来都来了现在。

说话人04(00:42:03): 走不是太太那啥了吗？来我勾。

说话人01(00:42:05): 那行小？

说话人02(00:42:07): 个预兆，他并没有触发直接的随机。

说话人01(00:42:12): 你来给我服吧！

说话人03(00:42:12): 不是我直接爬不行吗？

说话人02(00:42:15): 可以直接排，只是他想给你优势！

说话人01(00:42:18): 没有优势直接。

说话人04(00:42:19): 那你爬吧！

说话人03(00:42:20): 不是直接爬的话是一个 rd20吗？

说话人02(00:42:23): 对！

说话人01(00:42:24): 对！

说话人02(00:42:24): 直接一个 rd20跟你的八做对比！

说话人01(00:42:24): 一个2d？

说话人02(00:42:27): 你过得了吗？

说话人01(00:42:27): 你要是真过了！

说话人02(00:42:30): 那确实我们的小玉，我们的鱼友玉叔叔身手敏捷，两脚四脚攀爬取下来，优雅落地，声音一点都没有，那你在这里拿到了两罐的优质蜂蜜。

说话人03(00:42:48): 不许鼓掌！

说话人01(00:42:54): 快走！

说话人03(00:42:55): 先走再说。

说话人04(00:42:56): 我要他的灵魂替我鼓掌。

说话人03(00:43:02): 我们往上边。

说话人02(00:43:06): ok。

说话人03(00:43:06): 侧面的过道走吧！

说话人02(00:43:08): 很奇怪的一点，蜜蜂哪去了？采蜂叔哪去了？走左还是走右，走上还是走下？

说话人04(00:43:17): 下面吧！

说话人01(00:43:19): 判断一下声音的区域走走另外一条路，我感觉。

说话人03(00:43:23): 声音在下边？

说话人02(00:43:24): Ok那不就是走上面了？

说话人03(00:43:24): 我们往上走。

说话人02(00:43:27): 走银色光芒的位置？

说话人01(00:43:29): Ok从上面走？

说话人02(00:43:31): Ok.Ok.Ok.

说话人04(00:43:32): 只有平方。

说话人03(00:43:35): 你有平方吗？好。

说话人02(00:43:38): 有约的平方有约待会就又有约的三次方了。这一边，你们看到辉煌的银色殿堂，这个大约是个旧蜂王殿，这里的蜜蜡墙壁全都被改造成闪烁的荧光的殿堂，中央的地面画着还没有完成的银色。法阵用蜂蜜混合银粉绘制还在缓缓发光。在法阵的旁边站着两个细长的身影，他们皮肤泛着荧光。耳朵尖长，一手持着银色细剑，一个在持手持银色细剑，另一个在用银色细棒在那个法阵上描绘线条，嘴里低声吟唱着些什么？此时此间的你们觉得这是个什么种族？

说话人03(00:44:40): 你稍稍等一下。

说话人04(00:44:40): 我觉得。

说话人03(00:44:41): 让我看看。

说话人04(00:44:42): 我觉得是个猫？

说话人02(00:44:47): 你一边去吧，***是仙灵。

说话人04(00:44:49): 找到同类了，找到同类了。

说话人01(00:44:58): 不就是蜜蜂吗？

说话人03(00:45:01): 蜜蜂有耳朵吗？

说话人02(00:45:04): 蜜蜂有个单人的耳朵。

说话人04(00:45:13): 游戏叔叔你能辨认一下他们在干什么吗？你作为教徒。

说话人01(00:45:16): 对你会魔法？

说话人02(00:45:18): 有玉你看得出来这两位是仙灵族，他们是银皮肤尖耳朵知晓法术不可信赖。

说话人03(00:45:32): 他们不可信赖。

说话人01(00:45:34): 难道我们要直接打吗？

说话人02(00:45:35): 然后他地上绘制的那是传送阵。

说话人03(00:45:43): 他是传送阵！你们觉得他们之后会出来一群一传通面包鼠来打我们吗？

说话人02(00:45:53): 做手术？

说话人01(00:45:54): 你感觉会一车包1111面包的仙灵过来直接铺满这里，然后我们置于死地。

说话人04(00:46:05): 手术有点恐惧了，手术决定先下手为强。

说话人02(00:46:10): 先下手为强吗，还想放你一马？

说话人04(00:46:14): 对！

说话人02(00:46:14): 原来不用放了。

说话人04(00:46:15): 我想把旁边的围墙弄下来，不是金碧辉煌。

说话人02(00:46:21): 哪来的墙？

说话人04(00:46:23): 对你！

说话人02(00:46:23): 蜂巢洞？

说话人04(00:46:25): 对你不是说被那什么银白色的什么东西一看就很好看的。

说话人02(00:46:30): 那他妈是粉刷，那是墙灰**吧？

说话人04(00:46:37): 那也要？

说话人02(00:46:40): 没事，我管你这的护卫立刻持剑转向你们银剑出鞘离开这里是银刺的领地。

说话人04(00:46:52): 名次又是个什么东西？

说话人01(00:46:52): 好好好这手机就走对。

说话人03(00:46:54): 他们种族名。

说话人02(00:46:57): 仙灵不是他们的种族名，可能是他们仙灵头头要隐次吧，或者说他们的仙灵领主要隐次吧。你也不知道他的邻居是谁？

说话人04(00:47:12): 所以他出现在这里很合理吗？

说话人03(00:47:15): 我觉得很不合理！

说话人02(00:47:16): 仙灵出现在蜂巢里面很合理吗？

说话人03(00:47:16): 那我们采蜜鼠？那我们采蜜鼠在哪里？

说话人01(00:47:20): 合理！

说话人03(00:47:20): 那我们的那蜜蜂和采蜜鼠在哪里？

说话人01(00:47:20): 对我感觉也非常的合理，毕竟你像我们三只鼠都躺在里面了。

说话人03(00:47:27): 但是我不是我们之前蜂巢有合作的，我们都是采蜜薯！

说话人01(00:47:31): 我都有见。

说话人02(00:47:31): 不是蜂巢是被你们驯化的蜂巢是被那边的蜜？

说话人03(00:47:34): 我们信化。

说话人02(00:47:37): 蜜糖镇的鼠驯化的。

说话人04(00:47:41): 这里都有只猫了。

说话人01(00:47:41): 这肯定。

说话人04(00:47:42): 这很合理，这肯定不对劲！

说话人02(00:47:46): 他的话？

说话人03(00:47:47): 对，但是你采蜜鼠在哪里？

说话人02(00:47:49): 八的话不是？

说话人03(00:47:49): 我们无意冒犯，我们要带回我们采蜜鼠！

说话人02(00:47:53): 他的剑悬在空中，但又向下滴了滴。下面的蜘蛛带走了几只，不关我们的事哈！

说话人04(00:48:12): 我能冒犯的问一下你们在这干什么吗？我能参与进去吗？

说话人02(00:48:18): 他又把剑提了起来，对准了你。

说话人04(00:48:21): 我们很便宜的一对50块550。

说话人03(00:48:23): 这个家伙他脑子不太好，你们想要拿他当耗材的话，我们是没有意见的。

说话人01(00:48:30): 对！

说话人04(00:48:30): 对不起！

说话人01(00:48:30): 没有任何意见！

说话人04(00:48:31): 我错了。

说话人02(00:48:33): 找死滚！

说话人04(00:48:35): 对不起！

说话人03(00:48:38): 我自己走。

说话人02(00:48:39): 不过在此离开之前。

说话人03(00:48:39): 自己走。

说话人02(00:48:42): 你也能看到在法师仙灵的身旁有一个小台子上，似乎放了些什么？

说话人04(00:48:53): 那放了些什么？我们三个人铺着一瓶。

说话人02(00:48:56): 你这个角度看不到？

说话人04(00:48:57): 有人能看见吧？

说话人02(00:48:58): 除非你走过去。

说话人04(00:49:05): 我想一下。

说话人03(00:49:05): 你你都你都明白**你赶紧过去看看吧！

说话人04(00:49:10): 我想一下！

说话人02(00:49:10): 本来我的友善程度是不确定，但你要硬要生成这一个敌对的话，我有没有意见，那就吃我的仙灵一击。

说话人04(00:49:22): 我还没过去现在还在场场场外思考时间让我思考一下。我要不打龙这一山吧？

说话人02(00:49:30): 还在挑衅，让你立刻离开，还不离开。

说话人03(00:49:33): 我走了。

说话人04(00:49:34): 走走！

说话人03(00:49:34): 我走了，我走了。

说话人01(00:49:38): 对不起，对不起！

说话人02(00:49:40): 没事，你要不先直接跟他们打起来，这不只有一个吗？

说话人01(00:49:44): 打起来对！

说话人02(00:49:44): 你们三弟？

说话人01(00:49:46): 对！

说话人03(00:49:47): 不是我们任务只是来找采秘书的。

说话人01(00:49:48): 我先走。

说话人03(00:49:50): 跟他没什么关系，我们把这个任务搞好之后回去交差，然后剩下是剩下再说。

说话人01(00:49:56): 我们已经知道情况了，我们直接回去交差，跟他说你们有签名！

说话人04(00:50:00): 对！

说话人01(00:50:00): 这派给你们过来找吧！

说话人04(00:50:00): 就说这边有仙灵，然后蜘蛛把那个手术都抓走了，那很那咱们30块钱就拿到了。

说话人01(00:50:10): 没错。

说话人03(00:50:11): 这样说的没错，我觉得要不我们把叔叔带就走在就走，直接好人做到底得了。至于分场，反正我们抢不回来了，目前看起来要想回来让他们自己想办法。

说话人02(00:50:26): 那这边仙灵这边还在他们的房间里待着吗？

说话人03(00:50:30): 不是我们，我们下去了，到2楼。

说话人04(00:50:35): 又成平方了？

说话人02(00:50:36): 好！

说话人04(00:50:40): 于建龙有猫子？

说话人02(00:50:45): 没事给你调整，就去外面。行这边的话越往下走，空气越潮湿，甜味混杂着酸腐味。蛛网从天花板垂下，如同帘幕一般。这里面的蜂巢格子都被丝线封死，所以蛛网使得在这个房间行动变得困难，每次移动都要过敏捷，豁免失败就要被缠住。而你们能看到三只蜘蛛。

说话人01(00:51:28): 三只蜘蛛。

说话人03(00:51:29): 那先说一下黑暗树对蜘蛛没啥用，他们不是用视觉感知的！

说话人04(00:51:37): 我到现在都不知道自己能打过谁。

说话人02(00:51:38): 可以试！

说话人04(00:51:39): 自己打不过谁？

说话人02(00:51:41): 其实我的示范里面有预设过对黑暗法术的你不用在意，有效果是有效果，不会太久。三只蜘蛛在巡逻？

说话人03(00:51:57): 我们可以看到这里有没有采蜜鼠？

说话人01(00:52:03): 让我们来看看有没有我们的同伴。

说话人02(00:52:03): 其中有一只在包裹蜂蛹，也就是这一只。

说话人01(00:52:16): 要不咱们放个火跑吧！

说话人02(00:52:17): 角落里有一个鼠形状的茧，看起来是被蛛丝包裹的。他怎么？这要干啥？

说话人01(00:52:34): 混账东西你怎么能如此之做？

说话人03(00:52:36): 那我们可？

说话人01(00:52:37): 这会害死我们同伴的。

说话人03(00:52:39): 那我能不能带着简直接跑，不跟他们打商量着。

说话人02(00:52:46): 不排除可能性。

说话人01(00:52:48): 你你觉得就这个场景下的蜘蛛网，我们去，如果真的要带走的话，我们有机会吗？

说话人04(00:52:56): 单指主要是咱们都不知道咱们战力，我是不知道咱们战力是多大的，能打过吗？我能以我这个经验看一下吗？

说话人02(00:53:06): 你的经验吗？你的经验不是刚出炉的吗？你不是个垃圾收集者吗？

说话人04(00:53:14): 这至少有一些通识教育吧！这是？

说话人02(00:53:18): 这三只这那你看了看这三个蜘蛛嘛，体型跟你们是相近的。

说话人04(00:53:27): 那应该大概可能打一下试试怎么把减重的手术放出来，就有四个人打了。

说话人02(00:53:35): 等等有一个家伙有着丝滑的毛，那它挣脱会有优势。

说话人01(00:53:49): 不是。

说话人03(00:53:49): 你个小白鼠怎么会在这里有莫名其妙的优势？

说话人04(00:53:54): 你这家伙怎么怎么这么亮，一会儿大家先打你的。

说话人01(00:54:00): 那不是。

说话人02(00:54:02): 我们 So 你们他们还没有发现你们暂时还没有发等等我看一下，我算一下来这边过来去到这边的时候。

说话人01(00:54:17): 没事房间电猫挡住我的身影！

说话人02(00:54:19): 456。

说话人04(00:54:22): 我怎么挡住你的声音？

说话人01(00:54:25): 反正这题都一样，你挡住我的身影。

说话人04(00:54:27): 你是一只丝滑的，纯白的，美丽的小鼠，我是他妈穿着脏兮兮乱的服务器。

说话人02(00:54:36): 暂未发现。

说话人04(00:54:36): 服饰的尺色条纹。

说话人02(00:54:41): 行，那你们观察完这一个4号场地的情况了，怎么行动？

说话人04(00:54:49): 打吧，要不要还是直接跑小兵，要不要就不行？

说话人02(00:54:55): 我在想。

说话人01(00:54:57): 他们在巡逻等他们一个巡逻到我们这边接近的这边道路接近的时候，小你不是会法术吗？给他们遮蔽一下视野，然后我和接猫上去，直接群殴偷袭。

说话人03(00:55:10): 我去看一下法术的剑姬怎么扔？

说话人04(00:55:14): 他们跟猫一体型！

说话人02(00:55:16): 法术鉴定是你握在爪里面大声朗读决定你的消耗的力量。

说话人01(00:55:16): 直接全部突袭！

说话人03(00:55:24): 我要大声朗读，你确定我大声朗读的时候不会把他们给引过来吗？我觉得要不等？

说话人02(00:55:28): 没事没事很快的。

说话人04(00:55:31): 没事打，我觉得这个方法可以。

说话人01(00:55:34): 那就这样，那就这样。等他一个蜘蛛靠近我们这个通道的时候，我和仙猫直接上去群殴，直接偷袭打一个，先打一个再说，然后等那个蜘蛛过来支援的时候，你再念法咒，再念法术干扰。

说话人03(00:55:51): 我觉得可以。

说话人02(00:55:53): 确定了吧？

说话人04(00:55:55): 就这样。

说话人01(00:55:57): 对那么靠近的时候直接偷袭，然后天天在那过来支援的时候就发出干扰。

说话人02(00:56:00): 看看到了这一只猪的这只猪的时候，那你们偷袭还好，我们的规则确实有先攻突袭。那突袭的话，先手是直接命中，那你们投伤害吧，来一个第一个开始。

说话人01(00:56:28): 掉包的伤害是多少第八？

说话人03(00:56:31): 自己看！

说话人02(00:56:33): 自己看自己的武器！

说话人03(00:56:33): 不是写对？

说话人01(00:56:36): 看到了。

说话人02(00:56:45): 逼养的拿着雷霆武器造成了雷霆伤害。

说话人03(00:56:53): 还有我还有。

说话人01(00:56:54): 我们玩腻了。

说话人02(00:56:55): 你们能看到这只逼养的金猫轻轻敲了一下，摸了人家的脑壳，然后又收了回来。

说话人01(00:57:05): 你个**说的？

说话人02(00:57:06): 还在他在挑逗这只猎物！

说话人04(00:57:09): 诶你你你。

说话人02(00:57:09): 小心你飞你才是猎物。

说话人04(00:57:12): 你你们不懂？

说话人03(00:57:14): 不是还有笼子吗？笼子伤害在哪里？

说话人01(00:57:16): 看我第10伤害祖宗。

说话人03(00:57:31): 我想跑了怎么办？

说话人02(00:57:34): 跑，你赶紧跑，你现在就放个法师跑了。

说话人04(00:57:39): 我的妈什么鬼玩意，妈！这是我们热血沸腾的组合地！

说话人03(00:57:52): 我已经在想我去。

说话人02(00:57:55): 那行。

说话人03(00:57:58): 这点要闭上麦，我现在。

说话人04(00:58:03): 你你你不懂我，我们俩已经认识多年，他出什么力道我也明白的。

说话人01(00:58:10): 没错！

说话人04(00:58:11): 我相信他。

说话人01(00:58:11): 我不是我们两个可是。

说话人04(00:58:14): 我相信他第10的伤害。这个武器这么强大，一定能秒了他，相信我力量这么强大，一定能秒他，于是我们不约而同的收手。

说话人01(00:58:21): 但没错！

说话人04(00:58:23): 准备努力！

说话人01(00:58:24): 再做一次打工就没付出太多力。

说话人04(00:58:25): 攻击下一个人。

说话人03(00:58:29): 笑够了，我来了。

说话人02(00:58:31): 请来你你注意你的弹药是对你的弹药我是。

说话人03(00:58:37): 5个。

说话人02(00:58:38): 见见识，我给你写错。

说话人04(00:58:43): 神经！

说话人03(00:58:45): 没关系。

说话人04(00:58:45): 一个弟子18点出2点伤害。

说话人03(00:58:46): 反正就成五。那很好，那我先。

说话人02(00:58:57): 来吧！

说话人03(00:58:57): 那我先给他来一句。

说话人02(00:58:57): 先投一个来一件，我帮你扣了那个数量了，投个第六，我估计你也不会高到哪去。

说话人03(00:59:04): 我也来个一吧！

说话人01(00:59:06): 我怎么没吃过？

说话人02(00:59:09): ****牛逼，你直接把这个家伙洞穿了他的腹部来我偷他的。他是他？

说话人03(00:59:24): 我你们俩在干什么？

说话人02(00:59:25): 他要重疾豁免了。

说话人04(00:59:29): 你你你。

说话人02(00:59:29): 终极豁免失败！

说话人04(00:59:31): 你你就说死没死吧，我们三个实在太厉害了。

说话人01(00:59:33): 你准备。

说话人04(00:59:34): 死吧，你就说死没死。

说话人03(00:59:36): 我求求你们俩了，我是！

说话人01(00:59:39): 你不懂我搁房间是故意抽你的，给你表现机会知道吧？

说话人03(00:59:46): 背在哪里了？

说话人01(00:59:46): 我编不下去了。

说话人03(00:59:48): 你在哪里？

说话人02(00:59:51): 太曼妙了，看看是受伤。

说话人04(00:59:57): Ok 音乐这个头的结果。

说话人02(00:59:58): 立刻倒地。

说话人04(01:00:00): 带两个亿也是够绝望的，我们三个人实在是太厉害了！

说话人02(01:00:06): 没这有操作了？

说话人04(01:00:06): 没错，我们三个人简直无敌！

说话人02(01:00:08): 我的哥好，那这边的话懒得过那个懒得排那个先工表了，还是按叙事来这边？咦，这只巡逻的蜘蛛回头发现杀我兄弟早死，上来就扑咬这个笼子。

说话人04(01:00:34): 身身太显眼了。

说话人02(01:00:34): 这边。

说话人04(01:00:36): 玩第五人格打的就是穿白色的。

说话人02(01:00:36): 这边没有闪避，攻击是自动命中的直接扣你伤，直接扣你这个血了。

说话人03(01:00:45): 还真是。

说话人02(01:00:48): 血量不是敏捷减一？不等等是先扣血，然后再扣你的敏捷，所以你先学敏捷学减一。

说话人01(01:01:03): 不是先扣护甲吗？

说话人02(01:01:05): 护甲抵消了对，还真是没咬到一口咬到你的护甲上了。

说话人01(01:01:13): 看一下那我护甲二代要舔一奶？

说话人02(01:01:17): 不用减是撑不住的。

说话人01(01:01:19): 行常驻有常驻后面？

说话人02(01:01:23): 然后这边这一只我看看那它也吐了个蛛丝，就来到尖猫的身后。

说话人04(01:01:38): 三打五，你看前面白色的多好打，非要打五，咱们商量一下你打他好不好？

说话人02(01:01:44): 等等，你错！

说话人04(01:01:46): 好强大！

说话人03(01:01:48): 马上是100了吗？

说话人02(01:01:49): 不对阿金错了，我他妈要阿金伤害！有护甲减免。

说话人04(01:01:57): 中中奖能干什么？

说话人02(01:01:59): 护甲减免那就你护甲，那你就扣一点血就好了。

说话人03(01:02:07): 你们站位我怎么放法术？

说话人01(01:02:11): 你直接随地一放？

说话人02(01:02:12): 没事。

说话人01(01:02:12): 我们打到谁打？

说话人02(01:02:13): 这里一直是猫。

说话人01(01:02:13): 打到谁打谁就行。

说话人02(01:02:14): 一直是笼子，它不需要视野。

说话人01(01:02:17): 没事就不要放了。

说话人03(01:02:20): 不要放了我。

说话人04(01:02:21): 你直接送就好。

说话人03(01:02:21): 我觉得我不能，我不能在后面放冷枪。

说话人04(01:02:25): 不用你直接放我们俩打的逮到谁打谁，然后这次完了正好把所有仇怨都结清一下。

说话人03(01:02:31): 打到谁逮到笼子打笼子，逮到睫毛打睫毛嘛，你们两个都。

说话人02(01:02:36): 你要放法术吗？

说话人03(01:02:38): 我爸。

说话人02(01:02:40): 遗憾怎么还不放？

说话人01(01:02:41): 你这样法术不会影响你，你放法术，然后你给我们来个指挥。让我们两个打哪个位置指挥？

说话人03(01:02:49): 行，那我换个法术了，我看一下我是要投入多少力。

说话人04(01:02:54): 打野不放法术吗？那很坏了。

说话人01(01:02:57): 他太坏了，发音不标准。

说话人02(01:02:59): 想消耗多少点力量？

说话人01(01:02:59): 太坏了！

说话人02(01:03:00): 因为力量也是你的血量！

说话人04(01:03:02): 对一会儿我就先后向后打去。

说话人02(01:03:04): 没关系，如果跟蜘蛛打的话，它消耗的不是你的血量消耗你的是你的 des。对！

说话人01(01:03:13): 那就不放了。

说话人03(01:03:15): 不放了我地价也不高！

说话人04(01:03:17): 那你先打笼子吧！

说话人01(01:03:19): 对不是。

说话人03(01:03:20): 我先打蜘蛛一那我是？

说话人02(01:03:24): 那你就直接投武器伤害2.6而已，然后再捡一个弹药。八蛋掉了，我们这里的电池其实是可以回收的，只要你活了下来高达2点伤害吗？

说话人03(01:03:41): 你看中间有我这边有个笼子挡着我的道，我只能擦过去，你看这里。

说话人01(01:03:46): 没事，我看你攻击的间隙，给他一棒槌，给他一钩子。

说话人02(01:03:50): 你打到蜘蛛星身上不痛不痒，箭矢就在他的附近掉落了。那哈哈哈，两位贱猫笼子咚。

说话人01(01:04:07): 我趁他攻击间隙，直接高举给他一棒槌给他。

说话人02(01:04:12): 打出伤害七七的话。

说话人01(01:04:17): 工作起点。

说话人02(01:04:18): 好样的一记重击，我看看豁免失败！他也倒下。不，我的兄弟怎么都倒下了？

说话人04(01:04:45): 来了，我重型武器不是重锤不是第10吗？为什么我是第八？你你桌面上写的是第八？

说话人01(01:04:56): 我是第8个锤子，我双手装备垃圾钩第10。

说话人04(01:05:01): 不秋月给我写的？

说话人02(01:05:04): 对。那你对你是 dy，没有问题，你你是你是双手的小锤中型武器，所以你的攻击是带优势的。

说话人04(01:05:21): 什么意思？

说话人02(01:05:24): 取高！

说话人04(01:05:30): 二二第八吧？

说话人02(01:05:30): 去高对！

说话人01(01:05:32): 22d 八举报吗？那行，那很好了。

说话人04(01:05:35): 来五。

说话人02(01:05:40): 五打的是哪只一二？

说话人04(01:05:44): 打的是聋子？

说话人01(01:05:45): 他就剩一只了，你也要打我吗？

说话人04(01:05:48): 不是就一只了？

说话人01(01:05:49): 大姐那我给你一锅！

说话人04(01:05:51): 我打谁肯定打蜘蛛二，可以问谁？

说话人02(01:05:59): 行5.4好，但他依然挺着一口气烦鸟语。

说话人04(01:06:08): 孩子们我有点弱小。

说话人02(01:06:14): 反咬你一口无伤害又咬到板子上了。来小玉给他收了。

说话人01(01:06:25): 给他收了小鱼小玉杀死聋子太好了！

说话人02(01:06:32): 6点砰，然后我看看他的豁免。他们全都不过后秒我***要干嘛？

说话人01(01:06:43): 我觉得我们现在能刚好把上面仙人也杀了走，不是，那是你觉得？

说话人03(01:06:49): 等一下我要先过来把我的剑给拔回来。我要收。我要回收我的剑。

说话人02(01:06:53): 你可以去把？不过这里的蜘蛛是有毒的。

说话人01(01:06:59): 我们来回头。

说话人02(01:07:00): 自己清理干净，用旁边的蛛丝清理干净。

说话人04(01:07:02): 那我把手点打开吧！

说话人01(01:07:04): 我们身为。

说话人02(01:07:04): 书简打开行的，那你们过来把书简打开，里面有一只奄奄一息的鼠。

说话人01(01:07:21): 没事吧，没事吧？

说话人02(01:07:22): 太好了，周玉文来救我了，我还以为我这辈子都出不去了。谢谢你们，我叫甘菊，是蜜糖镇的采蜜鼠。

说话人03(01:07:38): 我知道。

说话人01(01:07:39): 那你知道这边什么情况吗？还有那边看那边有仙灵是什么鬼情况？

说话人02(01:07:46): 我不知道我来的时候就已经是这样，我就被莫名其妙的蜘蛛给绑了起来，放在这里好久。

说话人03(01:07:55): 你旁边那个蚕蛹有什么？

说话人01(01:07:55): 你一个吗？你的同伴没有吗？你没有同伴吗？

说话人02(01:07:59): 我不知他们怕是都被吃完了。对还有一只很大的红寡妇蜘蛛。

说话人03(01:08:12): 但是他们现在不在这里！

说话人02(01:08:15): 对我也不知道他在哪里。

说话人01(01:08:18): 看一下旁边的蚕蛹。

说话人03(01:08:19): 那事不宜迟，我们先跑吧，红寡妇之罪。

说话人01(01:08:22): 红寡妇蜘蛛而已，我身为垃圾！

说话人04(01:08:27): 行，你留下来断后我们先跑。

说话人01(01:08:29): 不是等会儿。

说话人03(01:08:30): 我觉得我们先把甘吉送走。

说话人01(01:08:30): 这边那个垃圾收集者，那我搜刮一下蜘蛛的尸体，清理一下，搜刮一下拿回去卖钱。

说话人02(01:08:37): 蜘蛛的尸体是不值钱的。

说话人01(01:08:38): 看那个朋友。

说话人02(01:08:40): 你要想收刮这里的宝藏的话可以！

说话人03(01:08:45): 评分评分。

说话人02(01:08:47): 我忘记了，让你们在这行动的时候，你们也没怎么动。因为它都扑到你脸上了，你都不需要移动我妈对那这样子赶紧给我过个敏捷豁免先 beyond 的，刚才全都没有过豁免。

说话人04(01:09:01): 明明先忘了，我也是要怎么加？2d 20然后取最低？

说话人02(01:09:11): 对！

说话人01(01:09:12): 取最低对都取最高！

说话人02(01:09:15): 原来14你肯定是没过你被束缚在这里了。

说话人04(01:09:21): 对！

说话人01(01:09:22): 那你过来等我。

说话人02(01:09:24): 你看穿重甲的小丑也是小丑。

说话人01(01:09:27): 15万还有1万吓死两个。

说话人03(01:09:28): 不是你不是有那个你不是有优势吗？

说话人02(01:09:31): 他没有他对他有优势一样的风月牙不要优势了。

说话人01(01:09:34): 不对我有优势。我再偷别偷。

说话人02(01:09:38): 就敷月牙自己活着打个屁。

说话人01(01:09:40): 也全死了？

说话人02(01:09:41): 那全被捆住了？

说话人01(01:09:43): 这鬼子开局过来救救我们开局。

说话人02(01:09:45): 没事被捆住之后那你们就过力量挣脱。

说话人04(01:09:51): 就我行！

说话人03(01:09:52): 对。

