说话人01(00:00:00): 第四把。
说话人02(00:42:56): 我靠，这你确定这是邪神吗？***是正神，他的公屏只要钱。

说话人03(00:43:02): 那你要不要嘛？那你够不够嘛，就问你。

说话人02(00:43:08): 共那要不我们下去看看吧，实在不行，赶紧。

说话人01(00:43:13): 下去看苦力土上来证明下面的守卫至少现在比较稀松，看过了苦力土。

说话人02(00:43:18): 我也觉得。

说话人03(00:43:21): 我看不见。

说话人02(00:43:21): 对了，你知道那个门后面是什么吗？

说话人03(00:43:25): 门后面是其他是幼崽叔叔们的。

说话人01(00:43:35): 这受不了。

说话人02(00:43:39): 幼崽叔叔们要给他们放出来吗？

说话人01(00:43:43): 先下去找钥匙吧，现在肯定啥都找不到。

说话人02(00:43:45): 我直接翘不行吗？

说话人03(00:43:48): 可以！

说话人01(00:43:49): 上吧，你接12**突然想起来。

说话人03(00:43:58): 把我的手太棒了！轻松撬开犹如无鼠之境。

说话人01(00:44:11): 我觉得这里咱们该去找狗民警察了。

说话人03(00:44:19): 没有狗在管辖这里。

说话人02(00:44:19): 他们还管？

说话人03(00:44:23): 灵狗在管辖这里，你把这个锁孔里面的那一点点挑出来，然后轻松把这一个锁给挑起来，毕竟个最简单的黄铜挂锁，象征性的来守一下而已，并不是很严谨。这里的话五。进入5号的话，一个比较温暖的房间。地上铺着柔软的碎布干草，几只刚睁眼的老鼠幼崽们挤成一团角落，有铁锈味，混着这干草味。

说话人02(00:45:36): 铁锈味混着干。那有什么痕迹？

说话人01(00:45:48): 看看楚楚们的状态。

说话人03(00:45:50): 是什么状态吗？开始叽叽叫，感觉是饿了。

说话人01(00:45:59): 我也饿了。

说话人03(00:45:59): 我们这里的鼠妈妈去外面觅食了，可能待会就会回来。

说话人02(00:46:10): 好的。

说话人03(00:46:12): 你们简单侦查一下，能看到墙角有窄缝，可能通往什么地方。下面？有一个小段的向下的墓道。

说话人02(00:46:31): 先走载凤先走墓道？

说话人01(00:46:35): 我觉得甲方应该什么都看不清，那咱们先走墓道，别上神秘园了。

说话人02(00:46:43): 好！

说话人03(00:46:53): 好地方，这是好地方！

说话人01(00:47:03): 我草有人发红包。什么？

说话人03(00:47:21): 烦没有至高图层 ok好六的话，走到底是一间铺满着铜板的墓室铜板的中央立着一个。严格意义上你们在这里一点通道怎么这么挤？

说话人01(00:47:58): 没办法通的通道，通道里有只狗！

说话人02(00:48:02): 还真是。

说话人03(00:48:03): 都是你台上放着一件发亮的东西，你们在下来时能偶尔看见棚板缝间偶尔跳起一些电弧，然后呲又没了一股说不清的刺鼻香气弥漫着。怎么说？

说话人01(00:48:25): 好？

说话人02(00:48:27): 坏我们下不去？

说话人03(00:48:30): 不一定！聪明的冒险鼠们发挥你的大脑？

说话人01(00:48:39): 我刚才好像没完全没听清。

说话人02(00:48:39): 狗狗麻雀你的麻雀会飞，让它带你飞进去吧！

说话人01(00:48:45): 好像。

说话人03(00:48:46): 背不了。

说话人01(00:48:47): 他能从车飞过去吗？

说话人02(00:48:50): 太远了，那要不？

说话人01(00:48:56): 这样吧，我分一半，然后。

说话人03(00:49:00): 小小的助跑让它冲刺到可以关闭装置的位置！

说话人01(00:49:07): 去吧，那就这样定了！

说话人02(00:49:11): 关闭装置的位置吗？现在哪里？在圆圈里？

说话人03(00:49:26): 肯定不是圆圈是个蜡台而已。

说话人02(00:49:29): 对，但我们现在也没看，也看不到关闭的装置在哪看得到吗？

说话人03(00:49:39): 你揉个第四吧！

说话人01(00:49:46): 加油小玉都靠你了！

说话人03(00:49:50): 123在右侧在右侧的123这里。

说话人02(00:50:02): 它是拉杆型的按钮型的？

说话人03(00:50:04): 不重要！

说话人02(00:50:06): 我在想，如果是安全型的话，直接丢一个木杆子过去看看能不能砸中。

说话人03(00:50:11): 需要拔掉或切断。

说话人01(00:50:12): 你不是有叫什么钩子吗？

说话人03(00:50:14): 需要把线或切掉电源线。你确实可以考虑用剑去把靠近总闸的那些电缆给一个射爆。

说话人01(00:50:37): 小玉加油！

说话人03(00:50:38): 三件之内可以解决。

说话人02(00:50:43): 我觉得这样比较保险点，反正既然可以收回的。

说话人01(00:50:48): 去吧！

说话人02(00:50:49): 那我这个是过敏节吗？成了。

说话人01(00:51:01): 不愧是你！

说话人03(00:51:03): 不愧是玉！早点觉得物垫脚不好吗？你绑点绝缘物在脚上不就好了吗？

说话人01(00:51:16): 听不懂？

说话人02(00:51:17): 干草吗？我要先过去把我剑拿回来。

说话人03(00:51:27): 滴滴滴谁在外面？

说话人01(00:51:39): 听不见，听不见当故障吧！

说话人02(00:51:43): 听谁在说话，听声音，声音在哪？

说话人01(00:51:45): 是谁在唱歌？

说话人03(00:51:48): 是谁在唱歌？我那我揉一揉。

说话人02(00:51:54): 你们大爷。

说话人01(00:52:00): 什么东西？

说话人03(00:52:02): 角落里传来了皮普落地的轻响。

说话人01(00:52:07): 我去钱。

说话人01(00:52:20): 只要有钱，那咱们就有了钱。我在说什么？

说话人03(00:52:25): 稍等让我搜让我瞄一瞄这里6号房间是。

说话人01(00:52:33): 有6位兼职人系列？

说话人03(00:52:36): 收回你的剑，然后想看哪里说想看刚才那个角落？

说话人02(00:52:45): 先看角落吧，先把微信排除了。

说话人03(00:52:48): 去到这边角落里。

说话人01(00:52:55): 我直接长矛冲刺可以吗？就啥都不管，先突袭再说。

说话人03(00:53:02): 你火把照过去没东西抽葱吃什么？不对忘记加六了。

说话人03(00:53:21): 皮普带？

说话人01(00:53:22): 还有包？

说话人03(00:53:25): 里面有一枚皮普掉落出来。

说话人02(00:53:29): 狗你拿着吧，这1块钱我看不上你拿。

说话人03(00:53:32): 那里面的9块钱你拿着？

说话人01(00:53:36): 天竟然是1块钱！

说话人03(00:53:40): 可以再揉一下。还有一份泛着荧光的苔藓，一小厨在墙角上的泛着荧光的苔藓等等小玉你不是施法者吧？你没法说！没事，你的你也大致认得出来，我看一下你的背景，甲虫木麻雀骑，反正墙上有一个泛着荧光的苔藓。皮普的话你们自己给自己记一下就好了。

说话人02(00:54:29): 一共几个，一共10个？

说话人03(00:54:32): 一共是？

说话人02(00:54:33): 全全给狗狗了，全给狗狗懒懒得动了。

说话人01(00:54:37): 那也行，那我先来这了。

说话人03(00:54:40): ***是铜地板怎么埋的？

说话人01(00:54:45): 确实难！

说话人02(00:54:46): 你先拿着我们回去评分。

说话人01(00:54:49): 也是那先拿回去吧！

说话人03(00:54:52): 那就先给你加到10了。

说话人01(00:54:55): 等到时候再买。

说话人03(00:55:01): 这一个镜头是还有一扇门的一扇半开的石门。

说话人02(00:55:10): 为什么一个碗一个杯子都没有？

说话人03(00:55:10): 门后？有水滴滴落空罐的叮咚声什么玩意？什么动静？

说话人02(00:55:19): 我也是吵架！

说话人03(00:55:20): 小发雷霆中。小发雷霆中。

说话人01(00:55:27): 有什么来着？

说话人03(00:55:29): 这里又有一扇门，中间有一个蜡台。

说话人01(00:55:35): 这里怎么除了门还是门？

说话人03(00:55:38): 那地层不都是这样子吗？

说话人01(00:55:41): 太坏了！

说话人02(00:55:42): 这不是墓园墓地吗？**对！

说话人01(00:55:47): 这就不能。

说话人02(00:55:47): 你要不你？没有看过盗墓笔记吗？人家层层绕的？

说话人01(00:55:52): 就不能有个仪式现场，然后有一堆人围在那边做什么东西。

说话人02(00:55:57): 什么你想要打人类吗？要打你自己打去。

说话人01(00:55:59): 我们过去突然召唤出来一个邪神什么的，让我们打邪神。

说话人03(00:56:08): 走你们的行动？

说话人01(00:56:12): 完蛋外面下雨了，我第一盘没说。

说话人03(00:56:16): 狐狸鼠还说你们刚才捡的皮普是他们挖出来的。

说话人02(00:56:24): 没关系，被我们建总有份了。

说话人03(00:56:28): 没事，你们把我救出去就我不想在这待着了。

说话人01(00:56:34): 看看石门。

说话人03(00:56:37): 半开着光想进去吗？

说话人01(00:56:41): 我开个缝。

说话人03(00:56:44): 刚刚帮我们。

说话人01(00:56:47): 能看见什么？

说话人03(00:56:47): 搬开的时候，后面是一个大大的墓室，地上散落着毯子，空罐墙角好像有两只瘦骨嶙峋的小老鼠。不老鼠不是小尽头有一道发亮的裂隙，悬在石壁上裂隙前似乎有很多皮谱带一只皮毛泛光的老鼠蹲在裂隙前再丢皮普一枚一枚丢进去。

说话人01(00:57:22): 他是背对着我们？

说话人03(00:57:24): 背对肯定是背对！

说话人01(00:57:27): 那很好！

说话人02(00:57:30): 那偷袭吧！

说话人01(00:57:30): 我在这边冲刺，你们把门一开我就冲过去，应该能打到吧？

说话人03(00:57:39): 本来半开的，你就可以微微挤进来一点。

说话人02(00:57:42): 你说你能不能给它顶顶进裂缝里？

说话人01(00:57:47): 啥试一下，反正我用的长矛。那还说啥？

说话人02(00:57:58): 那还说啥用同意就这样。

说话人03(00:58:01): 裂缝倒也没那么大，没有鼠的体型。

说话人02(00:58:05): 那也很遗憾，没有给他删了。

说话人01(00:58:07): 心里反正心里公司走起！有这个我在门门口对准有这个奖励？

说话人03(00:58:21): 不需要奖励，这是个攻击的动作，你带我投第12就好了。

说话人01(00:58:39): 好好好！

说话人02(00:58:42): 守夜鼠我们不打人诶！

说话人03(00:58:49): 一边去他们就叫守夜人。

说话人01(00:58:55): 大号我下一次卡掉布鲁斯吧！我的伤害是多少来着？

说话人03(00:59:08): 第12。

说话人01(00:59:08): 历史！

说话人03(00:59:10): D12他没有发现你，所以直接投伤害。

说话人01(00:59:25): 我用的是双手武器，那也没用吧？

说话人03(00:59:29): 你这是分你这是我看一眼怎么给你描述，反正是一个增强的攻击，增强攻击就是投地蛇。

说话人02(00:59:42): 8点伤害吧，好高的伤害。

说话人03(00:59:46): 8点吗？稍等我发现我今天还没有创建本次团的笔记。让我先创建一下笔记。

说话人01(00:59:56): 我看看某个人在7点发的啥来着，有空就待会儿，我已经准备好了。

说话人03(01:00:04): 准备指的是打开文件夹，不包含创建笔记。

说话人01(01:00:11): 所以我还以为李子要来玩。

说话人02(01:00:15): 我也是。

说话人03(01:00:16): 李子是不是要文字团没空？今晚？切完之后才有空。

说话人01(01:00:34): 结果双人船？

说话人01(01:00:51): 男主预算4000？

说话人03(01:00:59): 给他摁到墙上，首先血量清空，然后再减再过一个。豁免成功！

说话人01(01:01:20): 你说咱们能那还说啥把他搞得当那啥！

说话人03(01:01:26): 但是你。

说话人01(01:01:26): 当**？

说话人03(01:01:29): 但是你我到你的这一个 time你需要？

说话人01(01:01:44): 我需要。

说话人03(01:01:45): 抑制豁免。

说话人01(01:01:47): 一直过敏。2272是吧2276？三三第六，快快快！

说话人02(01:02:05): 加油7月七。

说话人03(01:02:09): 他有这么大的意志吗？

说话人01(01:02:09): 8点我是9点。

说话人03(01:02:13): 太无事发生这个鼠**我的腰**谁？

说话人04(01:02:23): 我是狗。

说话人02(01:02:23): 我还补他一剑，我看他一击。

说话人03(01:02:27): 不行太远了，你的射程够不到。

说话人02(01:02:29): 能听到？

说话人03(01:02:30): 他妈这多少格？你过来，战斗轮的情况下可以走12格。

说话人02(01:02:39): 让我坐12哥过来。

说话人01(01:02:40): 我是狗我不是鼠。

说话人03(01:02:42): 12345。

说话人01(01:02:44): 当狗也没什么不好。

说话人03(01:02:44): 60、70、90、10、20大概就到这里，那只苦力鼠就暂时不跟着你们了。

说话人02(01:02:54): 只要找个安全地方。

说话人03(01:02:54): 他在外面待着吗？

说话人02(01:02:55): 苟着就行。

说话人03(01:02:56): 他在这里待着，他不都陪你们太远了，不陪你们太近了。

说话人02(01:03:03): 我说狗狗麻雀真神，一个回合凑了这么远。

说话人03(01:03:08): 有个和双倍移动嘛？

说话人01(01:03:10): 这就是我麻麻雀骑手！

说话人02(01:03:12): 可真是那我还有行动力给他来意见吗？

说话人03(01:03:19): 它现在被狗狗和麻雀整个挡住你射不到。

说话人02(01:03:23): 太遗憾了。

说话人01(01:03:26): 没事，我长毛戳着他。

说话人03(01:03:31): 那就看。

说话人02(01:03:32): 那样子！

说话人03(01:03:33): 要是小玉有 magic 就可惜你没有学会 magic。

说话人03(01:03:43): 这边的守夜人扶着腰拿着他的古剑起来了，可恶你**谁？他妈撞我干什么？

说话人01(01:03:53): 我是狗。

说话人03(01:03:56): 逼养的又来一个弱智。

说话人01(01:03:57): 我是狗。

说话人03(01:04:01): 越来越弱智你等死吧，你把你身上的。

说话人01(01:04:03): 我就笑着这样说。

说话人03(01:04:05): 把你身上的钱都给我交出来，我饶你不死。

说话人01(01:04:10): 他发现不了，我是猫的。

说话人02(01:04:17): 释怀了？

说话人03(01:04:20): 那你不正经回复他，那就直接古剑抽死你了。

说话人04(01:04:25): 我来我不信了。

说话人02(01:04:29): 要不你把钱交给他吧，反正等我到了给他来一件或者下一回合你再给他来一毛。

说话人03(01:04:36): 他知道没钱！

说话人01(01:04:38): 也就让我死了而已。

说话人03(01:04:41): 区区对你造成了这，你为什么你今天受过伤吗？原来。

说话人01(01:04:47): 没有！

说话人02(01:04:48): 没有！

说话人01(01:04:48): 我上次受的伤，现在还没改回来。

说话人03(01:04:53): 我记得我不是只给你上了个疲惫吗？**神秘7点伤害，然后再扣三，那就四跟上次一样，说白了，跟上次一样好了来过一下你的力量豁免吧！

说话人01(01:05:14): 缺四我只要投三个一就好了。

说话人02(01:05:21): 来吧，清月大人来三个。

说话人01(01:05:21): 孩子们我死了。

说话人02(01:05:26): 没有。

说话人04(01:05:27): 没死个蛋！

说话人02(01:05:27): 晕了晕了。

说话人04(01:05:28): 你只是受伤了而已。

说话人02(01:05:30): 受伤那好！

说话人04(01:05:32): 受伤。

说话人01(01:05:34): 孩子们下一期我就会死，猫个障碍，疲惫受伤。

说话人03(01:05:40): 一边去吧，你重伤了。

说话人01(01:05:44): 对睡觉。

说话人03(01:05:46): 迅速冲了过来，然后嘎巴一下昏倒了。

说话人01(01:05:50): 麻雀就是都把我卡。

说话人02(01:05:53): 不能把这给他驮回来一点吗？

说话人03(01:05:54): 麻雀也装死？对了，说到这了，麻雀也过个一只破鞭。

说话人01(01:06:03): 麻雀你过什么益智？

说话人03(01:06:06): 麻雀的意志是七？

说话人02(01:06:06): 不是缝隙？

说话人03(01:06:08): 快点过一下。

说话人01(01:06:14): 大家一起死吧，就在这里。

说话人03(01:06:23): 让我谢谢麻雀！

说话人01(01:06:26): 我去收衣服去我服了。

说话人03(01:06:30): Ok 麻雀此时还在疑惑着人看着墙角，我先让他解体先。查看！开错了是。马雀就在这发呆了，他看着角落有没有不理他的狗主人狗东西。我 c 这个距离，远程武器的射程有没有这么远，我瞄一眼。

说话人02(01:07:29): 没有这么远往前走一点，行动力还是要给我留一点射个箭的。

说话人03(01:07:40): 再走我 cc 走到这吧，走到这差不多就够打到了守夜人了 a 吧！还有刮痧这一个箭矢擦过了他这一个手边的毛发，把它的一点毛给。夸了出来。

说话人02(01:08:13): 不是，但问题是狗狗打了8点，我再补一点。

说话人03(01:08:17): 没事，他要他再过豁免别急！

说话人01(01:08:22): 我后面。

说话人02(01:08:24): 不算小夜人。

说话人03(01:08:24): 不是是他。

说话人02(01:08:25): 守夜人。

说话人03(01:08:26): 他的力量还在被扣除。磕到甲沟炎了，原来。

说话人01(01:08:35): 我们两个真是卧龙凤雏！

说话人04(01:08:39): 我去磕到甲沟炎了。

说话人01(01:08:42): 发生啥事了？

说话人04(01:08:43): 嘎巴一下倒大了。

说话人01(01:08:48): 两个人脆纯脆皮来着。

说话人02(01:08:50): 我赶紧先过去把狗狗扶起来，然后把它咬醒，然后给它喝点水，它短短休一下。

说话人03(01:08:59): 狗去了？去你是走走到这边？走到这边？

说话人02(01:09:07): 左边吧，狗狗左边吧，喜欢跳的宽敞一点。

说话人03(01:09:09): 把哥哥邀请。

说话人01(01:09:20): 谢谢你不知名的老鼠，原来老鼠中还有这样的心灵。

说话人03(01:09:32): 我那个裂隙是在。

说话人02(01:09:39): 首先这边不是有很多散落的皮口袋嘛，天生的袋子。

说话人03(01:09:45): 塑料袋子吗？

说话人03(01:10:03): 袋子在这里，这里都有堆砌。你是下来了，应该甲虫在旁边待着吧！狗狗狗狗刚起来。

说话人01(01:10:17): 我是善良真人老师。

说话人03(01:10:21): 去看看那两只老鼠陪着麻雀，但是你发现骑上麻雀之后麻雀不动。

说话人01(01:10:27): 怎么了，受惊了？

说话人03(01:10:30): 不知道你要。

说话人02(01:10:30): 被魅惑了吧？

说话人03(01:10:33): 你你你拍一拍这个麻雀那抖了一下！

说话人02(01:10:40): 对！

说话人04(01:10:41): 送吗？送吗？

说话人03(01:10:44): 那两只兽老鼠看到你们把这一个守夜人击倒之后。

说话人02(01:10:46): 我还以为要我给他加钱！

说话人04(01:10:51): 感谢冒险鼠，感谢了，求求你们救我！

说话人01(01:10:58): 首先我要咨询一下。

说话人03(01:11:02): 我不是鼠，我是狗，你为什么这么大风？你一边去吧，待会再说。又在骑车吗你？

说话人01(01:11:14): 没有我风扇。

说话人03(01:11:16): 牛逼！你你跟着待会吧，这边不急完了。小鱼一只。顾得了吗？

说话人02(01:11:35): 好像没有，我看一眼没有，我一直骑。

说话人03(01:11:40): 低吗？

说话人02(01:11:41): 我也呆了阿巴阿巴。

说话人03(01:11:46): 没有你发现你爪子里面凭空多出了一枚奇特的。硬币银币？

说话人02(01:12:02): 口袋里要占我格子？

说话人03(01:12:03): 亮亮闪闪的硬币！

说话人02(01:12:09): 要叫我格子吗？

说话人03(01:12:12): 你先不用管你还要做什么？

说话人02(01:12:16): 我要把自己的皮不带全部搜刮走，顺便给守夜人摸个尸。

说话人03(01:12:23): 摸个屎嘛，身上没有带皮肤，只有他的那一把细剑。

说话人02(01:12:32): 睡觉了。

说话人03(01:12:35): 稍等我要看一眼。无事发生么，我勒个豆。至于这里面这里的皮肤有多少？我 cc你不尝试往里面投币吗？

说话人02(01:13:02): 先把钱捡了再说。

说话人03(01:13:06): 钱有多少？钱的话。头一个。你投一个阿迪六！5代10的皮谱就是50皮谱。

说话人02(01:13:40): Ok我自己加。

说话人01(01:13:43): 我还以为是5000。

说话人03(01:13:46): 一边去。

说话人01(01:13:47): 全队球也开了？

说话人02(01:13:49): 那个守夜人的剑被我毛走了，我到时候放在甲虫上，我先写他身上。

说话人03(01:13:57): 魔法剑这是把魔法剑，你确定拿吗？

说话人02(01:14:06): 他更要拿了，我拿过一把魔法剑了，虽然已经。

说话人03(01:14:09): 绕个阿迪六？

说话人03(01:14:21): 1/6的概率是被诅咒的。

说话人02(01:14:25): 所以我被诅咒了。

说话人04(01:14:32): 要我干什么？

说话人03(01:14:34): 不过诅咒是绑定到首先持有的老鼠上，还好诅咒就给他自己算上了，这是一把。

说话人04(01:14:47): 我要咋说？**我要咋？

说话人03(01:14:51): 这是把双爪的中型？

说话人04(01:14:54): 回来了吗？

说话人03(01:14:56): 剑中型魔法剑稍等我看看我给你写一下，新建中西先定事件第八，然后它的这个是重击。

说话人04(01:15:37): ok？

说话人03(01:15:49): 还有什么没有了？自己记一下吧！

说话人03(01:16:09): 此外，这里我 cc 狗狗和小鱼可以再揉一次 d6。

说话人04(01:16:26): 我也能撩吗？

说话人02(01:16:27): 对你也揉？

说话人03(01:16:35): 首先是小玉。小玉你额外在这守夜人的身上翻出了。

说话人01(01:17:01): 我的天竟然是400！

说话人03(01:17:05): 一枚泛着微光的乳白宝石！

说话人01(01:17:09): 最近演短剧演的我入味了。

说话人02(01:17:12): 好！

说话人03(01:17:14): 狗狗这边在旁边的，在这两个属实的旁边看到了一个感觉很这讨你喜欢的灯笼会散发出蓝绿光的灯笼。

说话人01(01:17:35): 以后就放我头上。

说话人03(01:17:37): 喜欢就放你头上。

说话人04(01:17:44): 装备上。

说话人02(01:17:46): 我觉得已经不虚此行了，咱们可以带着苦力鼠走不对。

说话人01(01:17:52): 回家。

说话人02(01:17:53): 不对我是不是还有个银币来着，要不先扔一个银币？

说话人01(01:17:58): 我手上还有一个鱼钩，现在来了。

说话人03(01:18:02): 以后他们不在你身上了，叽里咕噜说啥？

说话人01(01:18:08): 我还带着护目镜才发现我说怎么进不来？

说话人02(01:18:15): 那我那个银币硬币扔到裂缝里，物归原主。

说话人03(01:18:22): 扔进去没有任何反应，你听到里面有些许的这低语。

说话人02(01:18:40): 听不懂走了。爬上甲虫走了，我们该回去。

说话人01(01:18:50): 来戴上手术吧！

说话人03(01:18:56): 该清剿你们了？

说话人01(01:18:59): 我也要被清剿吗？诸葛亮怎么用来着？

说话人03(01:19:03): 没事，这边两只瘦老鼠。狐狸手快速爬到你们身后！多书精彩！很可惜，你们真的不好奇他为什么往里面投这么多皮谱吗？

说话人01(01:19:38): 那我们干什么拿鱼钩钓东西？连线都没有。

说话人02(01:19:45): 那不管我管他先把任务交了。

说话人01(01:19:50): 都能回家了，想管他们。

说话人02(01:19:51): 先回家把任务交了我管他是什么的。

说话人01(01:19:54): 这就是我们数数！

说话人02(01:19:56): 对我。

说话人03(01:19:57): 对的，这就是你们叔叔这里！

说话人01(01:20:01): 但是我不是鼠！

说话人03(01:20:01): 又路过时？

说话人01(01:20:02): 我是狗。

说话人03(01:20:03): 烛台上似乎有什么散发着微光？

说话人02(01:20:07): 先看看来都来了。

说话人03(01:20:09): 先看看从里面从烛台里扒拉出了一块，跟你刚才拿在过手里面的银币很像的。

说话人04(01:20:25): Yeah, yeah.

说话人02(01:20:29): 狗狗你要当收藏吗？

说话人03(01:20:32): 一块硬币？

说话人02(01:20:34): 或者说你要回去折回去给它扔扔进去吗？

说话人01(01:20:39): 扔进去吧，来都来了，扔都扔了我也就懒得回去埋了，不然还要回去买。

说话人03(01:20:47): 重启好！

说话人01(01:20:53): 冲刺！

说话人03(01:20:57): 来到这里把亮银硬币投入进去。对方说出你的愿望。

说话人01(01:21:14): 你有啥愿望，我要怎么实现？我就说有邪神！

说话人03(01:21:24): 那不是？

说话人01(01:21:27): 点 r3d6为什么不是1d2了？

说话人03(01:21:36): 失败嘛？

说话人01(01:21:47): 我什么头晕？

说话人03(01:21:48): 从这个裂隙里伸出了一张伸出了细长的手掌心，还托着一枚皮普。

说话人04(01:21:57): 说出你的愿望。

说话人01(01:21:57): 给我的吗？皮不是给我的吗？谢谢你！

说话人03(01:22:11): 你伸手去抓了抓发现摸不到。

说话人01(01:22:16): 这么坏，给这个门口这个小玉实现她的愿望。

说话人03(01:22:26): 说出你的愿望。

说话人01(01:22:30): 我的愿望给门口那个人。

说话人02(01:22:30): 人家认准你了，他认准你了，你说我的愿望是在实现我的10个愿望。

说话人01(01:22:40): 我的愿望是实现小玉的一个愿望。

说话人03(01:22:51): 说出你的愿望。

说话人01(01:22:51): 这愿望，这就是我的愿望。我有个屁愿望，我希望大家好，好好过天下和平挺好的。

说话人02(01:23:00): 天你许的什么愿望？这是雪柳吧？

说话人03(01:23:02): 鸡崽子老子是高级仙灵，不是造物主游戏好一点的。

说话人01(01:23:11): 那行吧，那给我一批谱吧先。那这样给小玉实现她的愿望，小玉，你的愿望是什么我？

说话人03(01:23:23): 他过来许愿！

说话人01(01:23:25): 我大声一点，问他小玉你的愿望是什么？

说话人02(01:23:30): 我要一根老鼠可以用的鱼竿。

说话人01(01:23:34): 还要一个老鼠用要用能用的鱼竿，为什么要说老鼠，我们不是狗吗？

说话人03(01:23:47): 那他从里面丢出了一根鱼竿出来拿着。

说话人02(01:23:53): 太好了！

说话人01(01:23:55): 太谢谢！谢谢！

说话人03(01:23:59): 海卷鱼竿？

说话人02(01:24:01): 然后又展现鱼竿好。

说话人01(01:24:08): 好好我滚过去。

说话人03(01:24:11): 叫你滚开。

说话人01(01:24:11): 我要滚过去，我不是走过去。

说话人02(01:24:15): Ok那你把鱼竿给我了，我这边自己收着了，看好。

说话人01(01:24:19): 行给你。

说话人03(01:24:21): 神秘人。

说话人01(01:24:26): 那仙灵是不是脑子有病，我就这么跟小鱼说。

说话人02(01:24:30): 他哪小子有病了，他给了我一把鱼竿！

说话人01(01:24:33): 那是我给你的。

说话人02(01:24:35): 他给了你一把鱼竿，你把鱼竿送给我了，你好好！

说话人03(01:24:43): 还在挑衅？

说话人02(01:24:47): 走吧，咱们赶紧回回去吧，我靠这个地方来值了，太好了，我有鱼竿了。

说话人01(01:24:54): 很好，虽然不知道你为什么要用鱼竿，老鼠用的？

说话人02(01:25:00): 因为我是钓鱼佬。

说话人01(01:25:02): 咱们是狗诶！

说话人02(01:25:03): 因为我是钓鱼鼠。

说话人03(01:25:05): 让我揉一下。

说话人01(01:25:11): 咱们12345677打一？

说话人03(01:25:14): 我吃发生。

说话人01(01:25:16): 老鼠又咱也带走？咱们七加 n 打一？

说话人03(01:25:31): 你正准备过去抱这个老鼠的时候，那边传来这个开门声，看到你们抱起它的幼崽，你们要对我的崽子做什么可恶的家伙。

说话人01(01:25:48): 各位妈妈，你也不想让你的孩子？

说话人03(01:25:56): 他也不想让他的孩子。

说话人04(01:26:01): 好的生活！

说话人03(01:26:01): 不，他想救我们走，这三只老鼠替你们作证。救他救我们走，能去哪里，在这里还不够好吗？

说话人02(01:26:17): 如果你想离开就留下吧。

说话人01(01:26:18): 在哪我就问了。

说话人02(01:26:20): 反正我们的任务只是送他们回到我们的据点。

说话人01(01:26:25): 拜托外面一一个骑士一天都25p 图的你们在这一天多少 p 图？

说话人03(01:26:33): 不知道你别问。

说话人01(01:26:37): 我外面其实还包吃包住！

说话人03(01:26:39): 远离我的孩子。

说话人02(01:26:41): 走吧！

说话人01(01:26:45): 他把老鼠幼崽带走。

说话人03(01:26:46): 好在有救下这三只老鼠，替你们这一个担保，他会去先回去拿着带回来收化回来的食物，喂它的幼崽去了，嗷嗷待哺。可能没有引来，我也我细心。我难受吧！那你？

说话人01(01:27:23): 我的？

说话人03(01:27:29): 有一只守夜人。

说话人02(01:27:33): 冲锋吧！

说话人01(01:27:33): 来都来了，冲锋冲麻雀冲冲轮椅，不是麻雀。

说话人03(01:27:40): 有一只老鼠被守夜人装扮的家伙拖着进来。这只老鼠还在苦力哀求着，被打了之后皮谱散落一地，然后他注意到成群结队出来的你们123你们三个家伙想跑哪去，你们两个他妈谁？

说话人01(01:28:04): 你数数不好，有5个人你还敢这么说话抽？

说话人02(01:28:07): 狗狗**先我后。

说话人01(01:28:09): 5个人你还敢这么说话，我告诉你，等我死了一会还要来人的，来狗的。

说话人03(01:28:20): 我看看这个位置过去。

说话人01(01:28:25): 别发了。

说话人03(01:28:28): 那你试试吧，去冲锋。

说话人01(01:28:33): 冲锋冲！

说话人03(01:28:36): 历史没距离给你冲。

说话人01(01:28:40): R 第10进不进初10？

说话人02(01:28:43): 来个1010。

说话人01(01:28:47): 我今天什么运气朋友？

说话人03(01:28:49): 高达2点伤害吗，原来有高达。

说话人04(01:28:54): 天哪竟然是高达！

说话人02(01:28:55): 到我了，到我了。

说话人03(01:28:58): 谁说到你了？他一二12345678901112。

说话人01(01:29:07): 找人去了？

说话人03(01:29:07): 对着那边？吹口哨，但我现实吹不出来。

说话人01(01:29:14): 兄弟们就直接这样，兄弟们！

说话人03(01:29:20): 小玉！

说话人02(01:29:23): 走过去一点，然后。

